x,a,b,c,d,e,f
1,0.379293944,0.422700852,0.966702488,0.653258361,0.029868188,0.130812347
2,0.43077495,0.608925596,0.797308202,0.184144154,0.047362041,0.567026923
3,0.231629178,0.04744436,0.102732031,0.805059982,0.237367481,0.785957948
4,0.373316163,0.894900766,0.729557458,0.800053498,0.240442446,0.392199406
5,0.356981521,0.405533063,0.271350699,0.157112294,0.053498104,0.508677965
6,0.972450561,0.36216237,0.809698678,0.543158152,0.584907317,0.085903679
7,0.868985122,0.867124353,0.320890387,0.027456102,0.015666305,0.242190724
8,0.136272096,0.9383416,0.893988308,0.656107389,0.374886262,0.676118036
9,0.388946619,0.268951235,0.500991305,0.341382398,0.679654716,0.300797733
10,0.631156057,0.983458051,0.593119266,0.745700628,0.248125932,0.654789596
11,0.436120084,0.53803718,0.891803551,0.675053257,0.912411913,0.126343004
12,0.46234789,0.39502678,0.647235211,0.976051005,0.56222048,0.389078352
13,0.59737895,0.556174626,0.445825002,0.826069564,0.158941307,0.078522818
14,0.593458493,0.134585464,0.294654002,0.963977477,0.002597128,0.035664701
15,0.140528723,0.523749838,0.12917932,0.428948924,0.109834468,0.849600311
16,0.690976628,0.811890548,0.617216271,0.631986282,0.664281937,0.810005865
17,0.234082626,0.750086526,0.060372476,0.528165965,0.50037983,0.940866399
18,0.997678192,0.788021306,0.547217884,0.593218931,0.996566786,0.42839947
19,0.279120375,0.073822147,0.491835892,0.837666134,0.498973112,0.362093401
20,0.3084722,0.44879929,0.072507747,0.287751053,0.8291916,0.016253622